text,aspect,labels
you can also visit and subscribe to our youtube,youtube,0
will the russian language be,russian,0
question  while creating a task how to i mention a section where it has to go,task,0
when i download the app i can not open it,app,-1
your subscription has been cancelled card details have been removed and your account has been deleted effective immediately  you may logout to complete the process,account,0
notion is a great service,notion,1
its basically the cost of an unlimited yearly plan but you get it for life and never have to pay a single penny again,plan,0
offline database for windows and android apps,windows,-1
please compare vegetables price with market price,market price,-1
felt really overwhelmed today have loads of ideas for notionhq templates to help others i have made a plan to star,templates,0
a consistent frustration is that the only truly optimized workflow is through the web browser,workflow,-1
 wrote please visit the stripe dashboard to update your billing information,billing,0
how to bring image front of all objects in scene,scene,0
there is no response for customer grievences,customer grievences,-1
delivery at time hassle free order at night and get it early morning feels so good,hassle free,-1
i use it every day and it has become my main help to organize my work,every day,0
once i got used to working with blocks and figured out the apps system of organizing data works i was able to start playing with the app successfully,app,1
please note that the notion api is in private beta,beta,0
i have used notion on my desktop so i wanted to try it out on my iphone however the app already does not open on my first time downloading it,app,-1
sure its a bit expensive but the benefit is you pay only once  never again,expensive,-1
too slow,too,-1
airtable wants to copy my contacts list as a condition to use the application during sign up,list,0
superb and free,free,1
hi i have just upgraded my plan but it is still showing the istock watermark on the clip,upgraded,0
it does not work on my phone,phone,-1
please make ability to assign tasks to users through siri,assign,0
i am using the android web browser instead,android web browser,-1
team to also have the option to select a range of scenes to download export,download,0
the bones are there to make a useful and fun task manager that i want to use but it needs the funk that trello has to really make me want to use it,task,0
the code element is not being displayed correctly the background color is the same as the page and the font is also standard,color,0
suggestion  add option for touch id on iphone and passcode on windowsmac before opening the app,windowsmac,-1
also are you experiencing this when you edit or delete a certain text,text,0
i realy love how notion could done everything i have imagine but for me it is a little bit slow not as light as my other productivity app,app,1
not only batch and banner notifications when a conversation or task is assigned,notifications,-1
the detailed info section on my tasks have a grey background and white text only when viewing on my phone,tasks,0
offlate residents at my society have started hating supr due to your recent changes in delivery process,changes in,-1
hello some of the music categories will not load,load,-1
your app is working slow some times their is no guarantee that i will get delivery of entire items on order,app,-1
absolutely poor response time for customer grievances no provisions in the app for instant complain registering let alone the resolution total disconnect bet what is promised or provisioned in the app and on the ground delivery status,app,-1
when i try to drag and drop from one page to another saved as favorite in the sidebar it moves for  second but then comes back to the first page,drag,-1
i love the program but the most recent mobile update makes everything so much more difficult to see,mobile,-1
the account settings menu is completely different on the desktop version i was confused by that choice,desktop version,0
it is regular and the milk is pure,regular,-1
there is that many features and tabs to click into,many,-1
start replying soon to the query and concern,start replying soon,0
notion as a service is ,notion,-1
fresh install on ios   couldn’t create projects,ios,-1
asana is simply the best product for personal and work productivity,personal,1
how do i remove the music from a video draft,draft,0
missing the ability to sort by tags,sort,-1
its giving an error in downloading both for my iphone and ipad,ipad,-1
i can not make it slide faster,slide,-1
but as a mobile app i would love to see some widgets since opening the app,app,1
what is the best server for this program,server,0
custer care number never respond,custer care,-1
love the idea miss a widget a working clipper and more,clipper,-1
best app ever,app,1
prices are very high,prices,-1
also pls make it have a format just like the ones in ipad and laptop android user ,android,-1
you can downgrade from a paid plan by going to settings amp members in the lefthand sidebar menu in the desktop or web app then selecting plans and clicking downgrade,sidebar,0
heard great things however there is no android widget for notion which is very disappointing as i rely on a quick view layout for fast notes,notion,-1
one has to check with customer care and they are often clueless,customer care,-1
well please do something on this app,app,1
okay so this code is basically a discount of  for the upgraded plans,discount,0
great app overall although i can only search for task names but not within a task should be fixed,task,1
no trabajando con office y usando google docs,usando,-1
and i need to edit just to download p quality,edit,0
notionhq is there anyway to automatically have reminders set vs having to do it manually for each task,reminders,0
best app ever,app,1
the concept is good but i hope there is  thing that available in this app its about export the data to another file like,file,0
my only issue is that i often have an issue logging in on the mobile app and it kicks me out a lot,app,-1
sorry for bothering but can we have different music per section,music,0
abhilashbolla notionanswers notionhq notion office hours on youtube is great but if you have a specific query of,youtube,0
i want to know if my current plan is paid,paid,0
despite have all those bells and whistles the app is lacking a critical functionality selecting multiple row or blocks as they call them,blocks,-1
but since i have started using the desktop version i am a fan again,desktop version,0
zaid apologies for the misunderstanding i agree that the payment options should be a little bit more straightforward,payment,0
it means i have to pay if i want to export an video with a premium template,pay,0
ive been using asana for  months for work and its perfect when it comes to practicality in teamwork from easy file forwarding and project description,project,0
by just removing sur charge on milk,milk,-1
if you can provide such a feature i can be a volunteer to translate it into chinese,translate,0
it takes forever to upload pictures,upload pictures,1
love being able to connect to my goals on the go,connect,0
but i paid  year contract by a mistake,paid,-1
sapota was really bad,sapota,-1
how do i delete the logo template icon,template,0
iv created a dashboard type page for all my clients containing everything from proposals to invoices and,invoices,0
i do not know how to create blocks groupings and it seems like i can only move one thing at a time,groupings,0
efficiency  punctuality customer friendly service,punctuality,1
basically asana is top but would like better performance in the app because i cant work on the tablet via the browser i need to use the app,tablet,-1
hides half of the projects,projects,-1
give some offers on milk subscription to existing users also,offers on milk subscription,-1
in accordance with local laws we are required to charge you tax if you do not have a valid number,local,0
only service charge has to be revised,service charge,-1
the ease of ordering timely delivery and best part can use the vacation option when not homea suggestionshould increase the variety of products sold,delivery,-1
its ridiculous to force users to share all their google contacts in order to log in,share,-1
currently when i press enter at the end of a line in a block a new block is created,block,-1
mobile app is slow to input text,text,-1
features access to  curated templates full access to image library full access to standard video library  istock images and videos free access to creator clubs premium templates all future updates,templates,1
the app is very customisable which is something that you would want in a personal organizer app,app,1
had complained n number of times that i can not book extra milk,milk,-1
i am trying to signup but the confirmation email never arrives,signup,-1
i wish they had different calendar views and layouts,calendar views,0
quality needs improvement specially the fruits and veggies,veggies,-1
it doesnt make any sense when companies make a mobile app with less features than the website and then they don’t make the website available on mobile safari,mobile,-1
ease of ordering till  in the night,ease of ordering,1
hi i have bought ltd from appsumo a while ago but now i am prompted for buying subscription,buy,0
can you please add an option to remove weekends on timeline,timeline,0
at the end of the video the sound become very low for no reason,sound,-1
jesus christ the ui of the app is extremely good,app,1
basically the graph is a visualization of each page included in a specific workspace and it shows which pages are linked together,workspace,0
i still use my evernote because i do not think that notion does a good job of capturing information from other places as smoothly as evernote,evernote,-1
but i had to really pay attention to it and not doing other stuff as i always do doing those easy chores,pay,-1
and on android it takes forever to load even though you have already logged in,android,-1
it is tough to remember to look at boring process docs stowed away in a google drive or kb,google,-1
good customer service and quality product required,quality product,-1
best app for daily tasks notes and scheduling,scheduling,1
notion apps in android cannot open and it takes longer time to open if can,notion apps,-1
am i going to get my money back,money back,0
i am glad to know that you have successfully recovered your data chares let me know if you have further feedback or questions and i hope you are staying healthy and safe,data,0
 notion team notionso the allinone workspace for your notes tasks wikis and databases,workspace,1
prompt service good response,prompt,1
the first company is running the h kealth workspace and using okta as a saml provider for sso and scim ,scim,0
most of the groceries will not be available however while adding to cart and making payments you accept the payments however at the time of delivery you will update stating the product is out of stock,groceries,-1
want to increase your productivity,productivity,0
why is it that some videos will not workadd to a scene,scene,-1
delivery charge to be removed,delivery charge,-1
helps in completing tasks on time,tasks,0
excellent tool for lovers of order and productivity without stress ,productivity,1
yes on a paid plan you get premium templates and media for free you can use that no problem ,plan,0
it is one of the best apps to use to organize your lists and schedule,apps,1
hi brandon how do i copy two scenes from the storyboard and add these to a new video,copy,0
however clicking the invoice preview i see you already have our vat number so i assume that vat will not be charged,invoice,-1
i’m using asana to oversee two projects,projects,0
i want to buy lifetime account,lifetime,0
quality of fresh fruits  vegetables and expiry date of milk,vegetables,-1
the latest version of the asana app eliminates the ability to swipe on tasks to modify their due date and category today upcoming later,swipe,-1
i hope timeline could be accessible in the app as well,accessible,0
there is a new feature in my ultimate tasks notionhq template  cold tasks,tasks,1
synchronization of tasks on iphone is improved,synchronization,-1
but also like everyone else ios  widgets please,widgets,-1
i think the delivery of fruits and vegetables can be improved,fruits,-1
work on customer support and offers,offers,-1
video resolution,resolution,0
mobile version is horrible,mobile version,-1
how can i delete music and scene from the project ,music,0
hi julie have tried resetting on the windows app but no change,tried resetting,-1
stop delivery charges,delivery charges,-1
logged in but the mobile app only shows half of  page of my  or so pages created on the desktop web version,app,-1
thanks for your help keith notion  open  watch video  keith corso my calendar here founder  busright,calendar,0
it says it will email me when doneno error,email,0
hi i want to pay via paypal,pay,0
everything works except editing the description under configure base,configure,0
every time i press backspace on android it closes the keyboard,keyboard,-1
notion is an excellent platform and the web and desktop apps are great with many powerful features,desktop apps,1
so many times ur not able to deliver milk in a month also many times i complaint that ur delivery guy sometime deliver at door  sometime near watchmen cabin and coz of not on time many times milk has spoiled,milk,-1
the mobile app is okay,mobile,1
even if the video contains istock videos and premium media,premium,0
hi there i can certainly complete that form but i was sending exemption info in response to an email received yesterday evening from regarding beginning to charge sales tax,form,0
however it is keeping loading and cannot add any team members now,loading,-1
they are all my uni notes and there are more,notes,1
after entering an article to edit the video with a voice over we have to split into separate scenes,voice over,0
airtable is great i use it in work and even in organizing the data of my sample collection for my master,organizing,0
 apple pencil support seen lots of people ask for this though not something i use or find essential at the,pencil support,0
i freaking love this app,app,1
powerful app  software,app,1
says i can use all paid templates,paid,1
would you mind sending over the workspace name or billing email address on file,workspace,0
i see your plan was not cancelled and  days was completed and so you were charged on nd april for business yearly plan,plan,-1
 you can upload your media from the storyboard screen edit scene modal or the advanced editing screen using the following process step  go to the media tab on the left panel,media,0
airtable is a great product through a browser on a desktop but it’s almost worthless as an app on your phone or ipad,browser,0
love notion android is so slow it is not really usable for me,android,-1
is there any option we can add moving like a strip watermark in a project from right to left,project,0
good app  needs to add access to trash on mobile to add back items accidentally deleted etc,mobile,-1
coursera notionhq lumahq typeform circle over slack because it is m,slack,0
i love the desktop app,app,1
i love this app  but the ipad experience seriously needs touchpadmouse support,app,1
i hope your team make this app more smooth on android like ios,android,-1
i need to cancel my account,account,0
amazing flexibility and simple interface,interface,1
im not able to login with my company email it kept askin me to input my google account and deleting device policy once its done its just showing authenticating with google but it never log in,email,-1
this app looks promising but one of the main reasons i use an ipad is because of the ability to pinch and zoom allowing me to easily see things,app,-1
wallet amount not credited so far,wallet,-1
a real lag loading pages seeing the spinner lots,loading,-1
lots of customization options without being fiddly,customization options,1
hi i wanted to know if it is posible to have this beta api access to integration notion with jotform,api,0
apart from this i see there is a mb file upload limit on the free plan,free,0
magic link should not be made as the only option to log in,log,-1
for me it was the most intuitive interface collaboration tool for process management,collaboration,0
i understand that you would like to pay for your subscription and thanks for letting us know about this,pay,0
therefore besides milk i do not purchase anything else,milk,-1
i ned to change the volume of the music i added,volume,0
service website ease vacation options,website ease,1
how can i know the status of my storage,storage,0
hi i have voice overs i would like to import and sync with scenes,import,0
i am getting an login error stating that unable to login,login,-1
please create widget based on the views,views,-1
if it is not in spanish i dont understand anything,spanish,0
very good  only need to give insulated bag for the milk subscription,milk subscription,-1
on unlimited plan you get  istock media  remove background image and unlimited premium videos,istock,0
in accordance with local laws we are required to charge you tax if you do not have a valid number,local,0
start with the free plan and then upgrade,upgrade,0
i was using this app since a long time but after the new update yesterday its not operating on my phone and its asking to upgrade my version which is not available on my phone,app,-1
i will point you towards a couple of tutorials we have for new customers such as yourselves as the tool does require some learning curve,tutorial,0
i had raised an issue of receipt of amul malai paneer at room temperature  deg c instead of at least below  deg cwhich has because the plastic wrapper becoming pluffyi did not open it but dispose itat least make sure that delivery of such items is effected in cold box like other sevice providers are practicing,amul malai paneer,-1
as of the moment zendesk integration is not available in notion yet but i absolutely agree how it would be super useful and ideal to have this feature,integration,0
please work on feedback faster and do not send expireddamaged products,expireddamaged products,-1
please advise on what steps to take next in order to restore my data,data,0
is it possible for you to modify our billing information so that the invoices generated would include the companys legal name and tax id code,invoices,0
gwynniem i started a cookbook section in my notionhq to paste just the recipes because i hate how cooking websi,paste,-1
i have turned the volume off in a one of the videio,off,-1
i love notion but the app has one big problem,notion,1
workshop create a notion workspace for emergency volunteer efforts design your workspace with me in notionhq and,workspace,1
follow this from a laptop desktop to cancel,cancel,0
at least for my moto g st android  it took so long to load the data compare to other to do list clickup and todo,moto g st android,-1
with the business plan  istock clips per month m  premium media  video export a month  remove background credits gb cloud storage,storage,0
it says loading trimmer and then it says something went wrong,load,-1
notion is great,notion,1
if product availability,product availability,-1
updated version of app not loading,app,-1
notion makes organising everything so easy,notion,1
add more products and brands,add more products,-1
fairly good but i have a complaint i always sort my tasks by due date but when i close and open the app again the tasks arent sorted by anything anymore,tasks,0
when i go to the app there are a bunch of loading icons,app,-1
it does not schedule well the tasks that i wanted to be repeated twice a week,week,0
notion is open source app with blocks and pages,pages,1
all i have to say is get the app,app,1
i need support with billing,billing,0
i just gave you my email,email,0
its a good app i was just really annoyed when it continually told me to leave a review every time i check something off the list,list,0
hello please can i cancel my subscription and get a refund as i have never used the platform,platform,0
i have one request can you add feature to crop pic while uploading to file that could be very handy for making notes using pics,notes,0
i love this webapp really much but the mobile version does not even launch on my phone,mobile,0
but as a mobile app i would love to see some widgets since opening the app,widgets,-1
but i do not want watermark and would choose the business plan,business plan,0
linear  notionhq integration would be a total killer,integration,1
easy to use and love the different project layout formats available,project,0
saradietschy notionhq milanoteapp after using trello and evernote for years i consolidated everything into notio,trello,0
this app is just a web view,app,-1
after a long time a got my ordered delivered,ordered delivered,-1
the app is user friendly can help us get the products at ease,user friendly,1
amazing project management tool,project,0
drop daily delivery charges on milk subscription and daily deliveries,delivery charges,-1
its cool how airtabel has managed to combine the properties of a database and the easy editing of excel,excel,0
this app could be so powerful but there is almost no support for editing with an ipad keyboard which really limits its draw,app,1
delivery timings are late,delivery timings,-1
ok how much time do i have to pay the invoice after may ,invoice,0
you can use the keyword intro to search for introoutro templates,search,0
i have been excited by reviews praising the features of notion as a notetaking knowledge organizer tool,notion,1
i order milk and if i need to order bread with it,milk,-1
i am using the code block in place of a text block so users have a straightforward area to fill out answers to a todo list i have created for them,block,0
by scene do you mean video,scene,0
apologeis drafts cannot be deleted,log,-1
wave off delivery chargeson every productsbakwasrd class naam bigad diaapne aap,delivery chargeson,-1
the online version is so much better than the app,online,0
hi zinith thank you for your quick reply,quick reply,1
excellent featurerich nodetaking app,nodetaking app,1
i am editing one scene another one which i am not editing is being affected,editing,0
when you cannot deliver milk please inform in advance so that we do not have to run for milk at the last minute,deliver milk,-1
there should be prompt updates to customers on deliveries and or delays to customers make alternate plans,prompt updates,-1
i want to fade from one music to another,fade,0
programmed obsolescence incentive to purchase we would have done well with your update,update,1
where can i see the counter of the istock credits used,istock,0
timely delivery and prompt customer service,customer service,1
i love that i can access information anytime anywhere and print professional looking spread sheets that are also attractive and engaging,also attractive,1
yes i keep deleting the logo place marker at the top right of the screen but it keeps reappearing,deleting,0
excellent database app loads of functionality for businesses we couldn’t do without it,database,1
full marks for desktop app,desktop app,1
but we could have at least seen our notes without it even if we could not edit them,notes,-1
we do not have quite the same drag function as excel or google sheets but you can do bulk edits for database properties,edit,0
new phone  st time checked out air table has to be the easiest  simplest expense record ever,record,-1
i love like how it has page numbers and the title on the bottom of every page,title,0
for example if you hit “dates” and romaji,dates,0
security wise however have you plans to implement fa authentication for user accounts,authentication,0
reporting technical glitch in invideo platform the fade out settings for editing music do not save ,editing,-1
i have noticed that the keyboard will keep closing if you primarily use it on android for longer than  minutes at a time so i have to reopen the app a bunch,android,-1
for my current plan did not include premium videos,plan,0
ok how much time do i have to pay the invoice after may ,pay,0
i am hopeful you will improve the quality of the delivery,delivery,-1
and dragging items to the side to creat a new columns  resizing them,dragging,0
too slow when creating a new page on samsung galaxy s,samsung galaxy s,-1
if notion fixes the slow loading performance when you first start the app it would be  stars,notion,-1
actually you can find our full list of current partners and apply for the discount through this form,list,0
i got my notion devices from my homeowners policy and said to download app to install notion devices ,devices,-1
i am getting tired of waiting over  seconds for this app to load a simple database in note  with over mb internet,app,-1
really convenient easy to navigate app with groups,navigate,1
okay so this code is basically a discount of  for the upgraded plans,upgraded,0
i had absolutely no problems and am very happy with all your services till recently when inspite of requesting home delivery it is not being done,home delivery,1
the only feature that prevents me from totally migrating to this is lack of offline features,offline features,-1
no i see its a business yearly plan not an appsumo one do you have the last payment receipt by any chance,payment,0
good app but extremely slow loading,app,-1
i also have a database with books i want to read and have read,database,0
delivery executives need to be trained well the products received are damaged most of time,delivery,-1
where’re the swipe from “my tasks” section,tasks,0
thanks for reaching out myroslav love to hear that you are interested in using notions enterprise plan for your company our enterprise plan is available on either a monthly or annual payment schedule,pay,0
that means it is near impossible to copypaste any more than one sentence or paragraph at a time and extremely frustrating to draft or migrate notes,more,-1
cant post a new task,task,0
my url is which is the page that is missing my notes,notes,0
when you upgrade again re add your payment details,payment,0
niederlangen tax number,tax,0
this app has helped me build my business from a small business with tons of excel spreadsheets to a highly organized linked and connected company,excel,0
you have to wait  min till gets open,you,-1
i wish it had an option to turn notes into offline mode so i can access my notes quickly and without connection,notes,0
is there a bug within the editor,editor,-1
the system is ok but the android app seems buggy slow not yet ready for professional work,android app,-1
whenever we launch it license to resell videos video resolution in p full access to all editing,p,0
i like it but it makes me something uncomfortable not being able to view the full text of tasks and projects in the form of a list because of the little space on the screen and that it is further reduced when the task fields are displayed or when you press an item to view the details,text,0
two consecutive days you could not supply us milk and bread,milk,-1
faster delivery and nice qualities of products,qualities,1
final point on this would be that it would be good to control that on a per workspace setting as i have quicklinks to my different workspaces,workspace,0
but its verry slow,slow,-1
i meant to post more yesterday have some more notes i will compile,notes,0
same as yesterday clash between video and background music,background,0
however the performance is very slow on the phone,slow,-1
the app is powerful,app,1
love this app only complaint is that i can not switch to light mode anymore,app,1
i repeat users of asana for ios can no longer swipe to delete tasks you know that thing you can do in literally every other taskproject app swiping to delete might sound minor but it’s hugely important and somehow the geniuses at asana decided to remove it as a result it now takes a whopping five interactions to delete a single task i’m not even kidding i wish i were those interactions are  tap to open task  tap threedot menu button at top of screen  scroll down because the “delete task” button is hidden below the bottom of the screen  tap “delete task”  when the “are you sure” menu pops up tap “yes” and exhale deeply the fact that there’s an “are you sure” popup is just hilariously absurd it’s like the company is trying to be as annoying as humanly possible and waste as much of its users’ time as it can if you read some of the other reviews you’ll notice a trend the company doesn’t seem to understand the concept of minimizing taps people on mobile apps want accomplish things quickly without having to tap around the screen a million times doing that will literally cause carpal tunnel and rsi asana buries everything and hides things in a way that makes their mobile app unusable another example say you’re looking at a list of tasks in the ios app—you will have no idea which tasks contain subtasks there’s plenty of space on the screen for a small indicator showing the number of subtasks in a task just like they do on desktop but they choose not to include it there are tons of other examples like this no idea who runs asana’s mobile product team or design team but they need to be replaced,swiping,-1
users have asked time and again allow the field sizes to be adjusted to fit more on the screen if and when required,screen,0
i downloaded this app after seeing so many advertisements and recommendations for it,app,1
this app helps me in managing my schedules anf priorities everyday,priorities,0
well i cropped it,crop,0
the  export limit is that only for videos which i would use your stock footage or is that for all videos that i would edit with invideo,edit,0
simply typing in the mobile ios app is nothing like typing in ios broadly,ios,-1
notion itself is a star platform however as you can see by other reviews this app has become the app that never loads,app,-1
deliver on time and quality items,deliver on time,1
uploading any pics and copy and pasting the text,copy,-1
how do i find a text box from the panel,text,0
just writing up my  chilli growing notes when i thought there must be an easier way to document over  plants across three environments,plants,0
i have mail on my other device and i am looging in to other device,mail,0
to remove a member in your workspace you can go to settings  members in the lefthand sidebar then,workspace,0
max vibration when i am trying to drag blocks it is really unpleasant fix it,max,-1
i’ve been thinking of trying to write my own app to handle some business tasks since i couldn’t find anything that would really work well for me,tasks,0
i thought i had a free trial,free,0
btw i love this app,app,1
it takes longer to open notion than it would to undelete all of geocities,takes longer,1
the app it’s not los ding properly for me and my team,team,-1
too bad notion free plan is kind of limiting anyway still a great app,app,-1
n groceries,groceries,-1
he is my personal assistant innovative practice super ,personal,1
hello i tried to upgrade my notion account with the free educational plan but when i try to change my email to associate my account with my educational email address i do not receive the mail with the access code in my educational mail,free,0
i love notion when using in a browser,notion,1
you take money and confirm order for sugar and in the morning we drink milk and tea without sugar,sugar,-1
to be clear did you grant complete access to someone with whom you shared your page,share,0
this note is good but the app is not good,app,1
stop charging delivery fee on the milk packets,milk,-1
the new update makes asana unusable in ipad,update,-1
when you claim that you will not charge any service charges from old customers like me then why a sum of rs has been deducted out of my monthly subscription without my knowledge consent,service charges,-1
i downloaded the app,app,1
you charging surcharge for delivery which makes it expensuveno more its convinent,surcharge for delivery,-1
i wanted to rate the app  stars later but after th reminder of rating the app i decided to go with  star,reminder,0
remove the delivery charges as relaxations are being given in the current situation,delivery charges,-1
so i wish they gave us portfolio dashboards and other data reportingsummary tools in the app,portfolio,0
looks like icloud is not an option because you cant grab data from right,icloud,-1
and i can not open the app,app,-1
that is my main account team,account,0
web app  opera,web,0
i love airtable but only the desktop version,desktop,0
after latest update  the app keeps crashing when entering linked record and drains battery as well,update,-1
its not working on my phone stuck on the logo screen,phone,-1
everything most importantly customer care service,customer care service,-1
top database app,database,1
please so i can have a look into your project and check this for you,project,0
i want the text appear from the beginning to cover the existing text,text,0
need text formatting function as a block of code,text,0
brilliant app but really needs a dark mode for mobile,dark mode,-1
hastle free services of milk fruits and vegetables,vegetables,1
at the time service and product availability,service,-1
take feed backs from customers about delivery time to time,customers,-1
prompt regular dependable service,prompt,1
extremely useful it helps to manage my daily class notes and study plans very well,daily class notes,1
this is great app but will not load on app android version but working fine in chrome mobile,app,-1
better customer support,customer support,-1
is there a quick way to impor notes from evernote to notion,evernote,0
after i export the draft can i go back to invideo and make changes to the original draft,draft,0
you might get such effects with our transitions between the scenes,scene,0
not compatible with windows bit,not,-1
i deleted the app and redownloaded it but it still continued to crash,crash,-1
co fools customers in offers and very very bad in customer care,customer care,-1
want a copy of the soc type  certification checked the cx processes but unable to find the certificate did not provide public response what caused you to escalate the ticket,soc type,0
for some reasons it keeps saying download failed,download,-1
so it basically is a filter for all the tasks in the organizaation that are assigned or owned by me,tasks,0
page is gone because i went to export,export,-1
a specific database card does not suggest creating a new template for this database,template,-1
i will tell you what i do not like payments made on your app takes a long time to reflect and renew subcription,app,1
they also throw the milk packets as a result i have received damaged packets with milk leaking,milk,-1
 please fix tablet portait mode,tablet portait mode,-1
i am in love with notion but the app needs a little tweaking,app,1
high service fee,service fee,-1
i want to cancel my acct,cancel,0
the logo icon on the left side is picking up the logo but it is not being dislplayed in th evideo,logo,-1
google web app,google,0
get some more views on mobiletablet  get dark mode and we have a proper app ready to fully be the base for my life,mobile,0
within morning am products delivery,delivery,1
but the android app is very very slow,android app,-1
in time and  delivery,in time,1
up to date dynamic notion calendar icon notion notionhq productivity,calendar,1
better your delivery and customer service,customer service,-1
asana is a great concept for team management but overiteration has led to an inferior ui and platform overall,team,0
the flexibility and easytouse interface means you can make a workspacecatchall for anything your heart desires,interface,0
so i feel like i should get full refund,refund,0
i would like to ask why it is not optimized with samsung galaxy tab a,samsung galaxy tab a,-1
very good app,app,1
if you receive this email in error please delete and notify the sender,notify,0
we can not make new columns make two column in page to,two,-1
on time delivery easy app payment method etc,easy app,1
this is the best note taking app i have ever used,app,1
it is the best app i use it to control my entire life,app,1
i have daily journal pages set up for the whole of the year  no judgement,journal,-1
rates of chocolates brought to mrp after first purchase,chocolates,-1
notion is awesome but the app is very slow,app,1
ok maybe i will try that and see how do i add the text,text,0
yes it has been charged i will cancel and refund,charged,-1
did this coz just read how underrated the app is,app,1
x  persons with reseller discount please,discount,-1
in the first slide volume too slow in the second slide its fine,slide,-1
are often staleone of the milk pkts tornmost of the regular items out of stockis it a professional organization or a street vendor,milk,-1
make all the grocery available lesser than mrp and normal offline market,make,-1
